wp_site_url,wp_tagline,wp_site_title,site_type,openshift_env,category,theme,theme_faculty,status,installs_locked,updates_automatic,langs,unit_name,Jahia_zip,comment
https://migration-wp.epfl.ch/ablasserlab,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,lab-u,ablasserlab,site de la labo
https://migration-wp.epfl.ch/acc,#parser,#parser,wordpress,int,GeneralPublic,epfl-blank,#parser,yes,yes,yes,#parser,acc-epfl,acc,programme études
https://migration-wp.epfl.ch/acces,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,sti-ge,acces,
https://migration-wp.epfl.ch/accreditation,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,sigouv-ge,accred-doc,sigouv-ge
https://migration-wp.epfl.ch/achats,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,dabs,achats,dabs
https://migration-wp.epfl.ch/acht,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,acht,acht,acht
https://migration-wp.epfl.ch/acm,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,gr-acm,acm,gr-acm
https://migration-wp.epfl.ch/adec,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,cgc-ma3,adec,cgc-ma5
https://migration-wp.epfl.ch/adele,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,el-ma3,adele,el-ma5
https://migration-wp.epfl.ch/adsv,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,upsalathe1,adsv,upsalathe3
https://migration-wp.epfl.ch/ae,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,ae,ae,ae
https://migration-wp.epfl.ch/aegc,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,gc-pmh,aegc,gc-pmh
https://migration-wp.epfl.ch/aegel,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,dcsl,aegel,dcsl
https://migration-wp.epfl.ch/aesv,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,sv-ba3,aesv,sv-ba5
https://migration-wp.epfl.ch/alice,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,epfl-ecal-ge,alice,epfl-ecal-ge
https://migration-wp.epfl.ch/amac,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,amac,amac,amac
https://migration-wp.epfl.ch/anchp,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,anchp,anchp,anchp
https://migration-wp.epfl.ch/apc,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,spc-ge,apc,spc-ge
https://migration-wp.epfl.ch/apel,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,gr-pi,apel,gr-pi
https://migration-wp.epfl.ch/aphys,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,aphys,aphys,aphys
https://migration-wp.epfl.ch/apml,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,sv-ba5,apml,sv-ba7
https://migration-wp.epfl.ch/nm2,#parser,#parser,wordpress,int,GeneralPublic,epfl-blank,#parser,yes,yes,yes,#parser,bbp-core,nm2,bbp-core
https://migration-wp.epfl.ch/aprl,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,aprl,aprl,aprl
https://migration-wp.epfl.ch/aqua,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,aqua,aqua,aqua
https://migration-wp.epfl.ch/archizoom,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,archizoom,archizoom,archizoom
https://migration-wp.epfl.ch/aro,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,vlsc,aro,vlsc
https://migration-wp.epfl.ch/artlab,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,aff-cult-art,artlab,aff-cult-art
https://migration-wp.epfl.ch/asar,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,ar-ba5,asar,ar-ba7
https://migration-wp.epfl.ch/asn,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,gr-pi,asn,gr-pi
https://migration-wp.epfl.ch/aspg,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,sci-sti-jmv,aspg,sci-sti-jmv
https://migration-wp.epfl.ch/associations,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,daf-ge,associations,daf-ge
https://migration-wp.epfl.ch/astie,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,lts5,astie,lts7
https://migration-wp.epfl.ch/astrobots,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,lastro,astrobots,lastro
https://migration-wp.epfl.ch/atelierweb,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,exapp,atelierweb2,exapp
https://migration-wp.epfl.ch/aumonerie,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,aumonerie,aumonerie,aumonerie
https://migration-wp.epfl.ch/auwerx-lab,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,lisp,auwerxlab,lisp
https://migration-wp.epfl.ch/bachelor,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,spe,bachelor,spe
https://migration-wp.epfl.ch/callista,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,callista,callista,callista
https://migration-wp.epfl.ch/barth-lab,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,ssv-ens,barthlab,ssv-ens
https://migration-wp.epfl.ch/benchmarking-achats,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,dabs,achats,dabs
https://migration-wp.epfl.ch/icss12,#parser,#parser,wordpress,int,GeneralPublic,epfl-blank,#parser,yes,yes,yes,#parser,cclab,icss12,cclab
https://migration-wp.epfl.ch/bioengineering,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,ibi-sv-ge,bioem,ibi-sv-ge
https://migration-wp.epfl.ch/bioinspired,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,ip,bioinspired,ip
https://migration-wp.epfl.ch/biorob,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,biorob,biorob,biorob
