source,destination
ic,schools/ic
,schools/ic/education
ic/recherche,schools/ic/research
ic/professeurs,schools/ic/professors
ic/transfert-de-technologie,schools/ic/tech-transfert
ic/notre-mission,schools/ic/organization
ic/contacts-ic,schools/ic/organization/contacts
ic/decanat,schools/ic/organization/contacts/dean-office
ic/committees,schools/ic/organization/committees
ic/conseil-de-faculte,schools/ic/organization/school-counsil
ic/direction-sections,schools/ic/organization/section-directors
ic/advisory-board_fr,schools/ic/organization/advisory-board
,schools/ic/news
ic/evenements,schools/ic/agenda
ic/journee-de-recherche-2017,schools/ic/agenda/research-day
ic/seminaires,schools/ic/agenda/colloquia
,schools/ic/output/
ic/prix,schools/ic/output/awards
ic/livres,schools/ic/output/books
ic/succes-etudiants,schools/ic/output/students-success
ic/page-133495-fr.html,schools/ic/output/alumni
,schools/ic/services
ic-it/,schools/ic/services-it
ic/research,research/domains/ic/
ic/algorithmique-et-informatique-theorique,research/domains/ic/algorithms-theoretical-computer-science
ic/intelligence-artificielle-et-apprentissage-automatique,research/domains/ic/artificial-intelligence-machine-learning
ic/biologie-computationnelle,research/domains/ic/computational-biology
ic/architecture-informatique-et-systemes-integres,research/domains/ic/computer-architecture-integrated-systems
ic/gestion-de-donnees-et-recherche-d-informations,research/domains/ic/data-management-information-retrieval
ic/graphique-et-vision,research/domains/ic/graphics-vision
ic/interaction-homme-machine,research/domains/ic/human-computer-interaction
ic/theorie-de-l-information-et-des-communications,research/domains/ic/information-communication-theory
tcs/page-110071-en.html,research/domains/ic/information-communication-theory/members
tcs/page-110072-en.html,research/domains/ic/information-communication-theory/seminars
tcs/page-110321-en.html,research/domains/ic/information-communication-theory/reading-group
ic/reseaux,research/domains/ic/networking
ic/langages-de-programmation-et-methodes-formelles,research/domains/ic/programming-languages-formal-methods
ic/securite-et-cryptographie,research/domains/ic/security-cryptography
ic/traitement-du-signal-et-de-l-image,research/domains/ic/signal-image-processing
ic/systemes,research/domains/ic/systems
