CODE,SEMESTER,TITLE,LANGUAGE,TITLE_FR,TITLE_EN,RESUME_FR,RESUME_EN,PROFESSORS,CREDITS,LECTURE_PERIOD,EXERCICE_PERIOD,PROJECT_PERIOD,TP_PERIOD,LABO_PERIOD,EXAM_INFO,KEYWORDS,POLYPERSPECTIVES
HUM-120(a),BA2,Enjeux mondiaux: alimentation A,FR-EN,Enjeux mondiaux: alimentation A,Global issues: food A,"The course offers an overview of issues linked to nutrition: sustainable production, food security, food safety, as well as food and health.
The interdisciplinary approach integrates SHS with engineering sciences and introduces students to team work and to scientific methodology.","Le cours présente les enjeux liés à l'alimentation: production durable, sécurité alimentaire, sécurité sanitaire et liens entre alimentation et santé. L'approche interdisciplinaire intègre les SHS et les sciences de l'ingénieur et initie au travail de groupe et à la méthodologie scientifique.",229797:Jérome:Feige|306782:Bertrand Henri:Fincoeur|229432:Serge André Dominique:Rezzi,,2,,,,,,,
HUM-120(b),BA2,Enjeux mondiaux: alimentation B,FR-EN,Enjeux mondiaux: alimentation B,Global issues: food B,"The course offers an overview of issues linked to nutrition: sustainable production, food security, food safety, as well as food and health.
The interdisciplinary approach integrates SHS with engineering sciences and introduces students to team work and to scientific methodology.","Le cours présente les enjeux liés à l'alimentation: production durable, sécurité  alimentaire, sécurité sanitaire et liens entre alimentation et santé. L'approche interdisciplinaire intègre les SHS et les sciences de l'ingénieur et initie au travail de groupe et à la méthodologie scientifique.",188215:Carlos:Canto Alvarez|167321:Maximilien:Stauber,,2,,,,,,,
HUM-121(a),BA2,Enjeux mondiaux: climat A,FR,Enjeux mondiaux: climat A,Global issues: climate A,Le cours présente les enjeux mondiaux liés au climat : système climatique et prévisions ; impacts sur écosystèmes et biodiversité; cadrage historique et débat public; objectifs et politiques climatiques. L'approche interdisciplinaire initie au travail de groupe et à la méthodologie scientifique.,This course presents the global issue of climate change: climate system and prediction; impacts on ecosystems and biodiversity; historic frame and public debate; climate targets and policies. The interdisciplinary approach introduces students to working in teams and to scientific methodologies.,176402:Alexis:Berne|289942:Augustin:Fragnière,,2,,,,,,,
HUM-121(b),BA2,Enjeux mondiaux: climat B,FR-EN,Enjeux mondiaux: climat B,Global issues: climate B,This course presents the global issue of climate change: climate system and prediction; impacts on ecosystems and biodiversity; historic frame and public debate; climate targets and policies. The interdisciplinary approach introduces students to working in teams and to scientific methodologies.,Le cours présente les enjeux mondiaux liés au climat: système climatique et prévisions ; impacts sur écosystèmes et biodiversité ; cadrage historique et débat public ; objectifs et politiques climatiques. L'approche interdisciplinaire initie au travail de groupe et à la méthodologie scientifique.,106542:Philippe:Thalmann|126039:.:Vacat,,2,,,,,,,
HUM-122(a),BA2,Enjeux mondiaux: communication A,FR,Enjeux mondiaux: communication A,Global issues: communication A,This course presents the current global issues in live communication and in social medias. The interdisciplinary approach integrates SHS with engineering sciences and introduces students to working in teams and to scientific methodologies.  ,Le cours présente les enjeux mondiaux actuels liés à la communication instantanée et aux médias sociaux. L'approche interdisciplinaire intègre les SHS et les sciences de l'ingénieur et initie au travail de groupe et à la démarche scientifique.,105245:Denis:Gillet|190153:Samuel:Bendahan,,2,,,,,,,
HUM-122(b),BA2,Enjeux mondiaux: communication B,FR-EN,Enjeux mondiaux: communication B,Global issues: communication B,"Ce cours présente les enjeux mondiaux de la sécurité de l'information et de la sphère privée, abordés par la cryptologie et la sociologie. L'approche interdisciplinaire intègre les SHS avec les sciences de l'ingénierie et initie au travail en équipe et aux méthodes scientifiques. ",This course presents the global issue of communication and privacy. It examines  information security through cryptography and sociology. The interdisciplinary approach integrates SHS with engineering sciences and introduces students to working in teams and to scientific methodologies.,308729:Philippe:Gonzalez|240726:James Richard:Larus,,2,,,,,,,
HUM-123(a),BA2,Enjeux mondiaux: énergie A,FR,Enjeux mondiaux: énergie A,Global issues: energy A,"This course offers an overview of global issues related to energy: basic concepts, needs and resources, societal and political implications. The combination of scientific and SHS approaches will provide the students with quantitative tools as well as an overall vision of the issue. ","Le cours offre une vision d'ensemble des questions liées à l'énergie: concepts de bases, besoins et ressources, ainsi que les implications pour la société et la politique. L'approche interdisciplinaire intègre les SHS avec les sciences de l'ingénierie et initie au travail en équipe.",111055:Ivo:Furno|105078:Ambrogio:Fasoli|126039:.:Vacat,,2,,,,,,,
HUM-123(b),BA2,Enjeux mondiaux: énergie B,FR,Enjeux mondiaux: énergie B,Global issues: energy B,"Le cours abordera les grandes problématiques technologiques et socio-économiques liée à la transition énergétique, et discutera de la des perspectives et des barrières à l'établissement d'un système énergétique durable.
","This course offers an overview of global techno-economic and social challenges related to energy transitions to a low carbon economy, and will discuss the prospects and barriers to the implementation of a future sustainable energy system. ",109846:François:Vuille|112728:Suren:Erkman|140973:François:Maréchal,,2,,,,,,,
HUM-124(a),BA2,Enjeux mondiaux: mobilité A,FR,Enjeux mondiaux: mobilité A,Global issues: mobility A,"Le cours présente l'enjeu mondial de la mobilité. Il sera abordé avec une triple entrée : le temps/la vitesse, le prix/la tarification et les territoires de la mobilité. L'approche interdisciplinaire intègre les SHS et les sciences de l'ingénieur et initie au travail de groupe et à la méthodologie s","This course presents the global issue of mobility.  Three main topics will be considered : Time/speed, costs/pricing and mobility territories. The interdisciplinary approach integrates SHS with engineering sciences and introduces students to working in teams and to scientific methodologies.  ",126039:.:Vacat,,2,,,,,,,
HUM-124(b),BA2,Enjeux mondiaux: mobilité B,EN,Enjeux mondiaux: mobilité B,Global issues: mobility B,Le cours présente l'enjeux mondial de Mobilité dans les systèmes logistiques. Le flux de produits et de passagers est étudiée.L'approche interdisciplinaire intègre les SHS et les sciences de l'ingénieur et initie au travail de groupe et à la méthodologie scientifique.,This course presents the global issue of Mobility in Logistics Systems. The supply chain management of flows of products and passengers is studied. The interdisciplinary approach integrates SHS with engineering sciences and introduces students to working in teams and to scientific methodologies.,196675:Nikolaos:Geroliminis|126039:.:Vacat,,2,,,,,,,
HUM-125(a),BA2,Enjeux mondiaux: santé A,FR,Enjeux mondiaux: santé A,Global issues: health A,The course covers global health issues. It discusses the challenge of infectious and neurodegenerative disease. The interdisciplinary approach integrates SHS with engineering sciences and introduces students to working in teams and to scientific methodologies.,Le cours présente l'enjeu mondial de la santé. Il aborde les défis posés par les maladies infectieuses et les maladies neurodégénératives. L'approche interdisciplinaire intègre les SHS et les sciences de l'ingénieur et initie au travail de groupe et à la méthodologie scientifique.,185819:Delphine:Preissmann|282669:Johanna Susette:Gonçalves Martin,,2,,,,,,,
HUM-125(b),BA2,Enjeux mondiaux: santé B,FR,Enjeux mondiaux: santé B,Global issues: health B,Le cours présente l'enjeu mondial de la santé. Il aborde les défis posés par les maladies infectieuses et les maladies neurodégénératives. L'approche interdisciplinaire intègre les SHS et les sciences de l'ingénieur et initie au travail de groupe et à la méthodologie scientifique.,The course covers global health issues. It discusses the challenge of infectious and neurodegenerative disease. The interdisciplinary approach integrates SHS with engineering sciences and introduces students to working in teams and to scientific methodologies. ,276311:Yi-Tang:Lin|178252:Neeraj:Dhar,,2,,,,,,,
HUM-114,BA3,"Science, technologie et société A",FR,"Science, technologie et société A","Science, technology and society A","Les étudiant·e·s analysent de dynamiques de co-production des sociétés et des technologies numériques, leurs enjeux et les problématisations dont elles sont l'objet, en apprenant à mobiliser des concepts et méthodes de l'analyse sociotechnique issue des science and technology studies","Students analyze the co-production dynamics of societies and digital technologies, and the issues they face. To this end, they learn to mobilize concepts and methods of sociotechnical analysis from science and technology studies (STS).",141723:Dominique:Vinck,2,2,,,,,,DIGITAL CULTURE|NUMÉRIQUE,Globale|Citoyenne
HUM-201,BA3,Enjeux politiques contemporains A,FR,Enjeux politiques contemporains A,Contemporary political issues A,"Vivons-nous dans une &quot;société du risque&quot; ?
Pour répondre à cette question, nous reviendrons sur les différents processus sociaux (de l'essor des probabilités à celui du secteur de l'assurance, des politiques de sécurisation aux mobilisations de victimes) qui participent de l'émergence du risque.","Are we living in a &quot;risk society&quot; ? To answer that question, we will analyze the various social processes (from the invention of probabilities to the rise of insurance companies, from the securing policies to the victims' mobilisations) that contribute to the emergence of risk.",196780:Hervé:Rayner,2,2,,,,,,SOCIÉTÉ DU RISQUE|CATASTROPHES|PRÉVENTION|PRÉCAUTION|ALERTE,Interdisciplinaire|Citoyenne
HUM-202,BA3,Pratiques artistiques A,FR,Pratiques artistiques A,Artistic practices A,Dans ces cours chaque étudiant conceptualise et réalise plusieurs photographies de mise en scène montrant sa vision d¿une utopie et/ou d¿une dystopie.,In this class each student conceptualisez and realizes several staged photographies depicting her or his vision of an utopia and an dystopia. ,251225:Frank:Westermeyer|317070:Aurélie Nelly Claudine:Leplâtre Pétrel,2,2,,,,,,20E SIÈCLE|ART|CINÉMA|CONCEPTUAL IDEAS|CONTEMPORARY ART|DOCUMENTAIRE|FICTION|HISTOIRE|INTERDISCIPLINARITÉ|NARRATION|PHOTOGRAPHIE|VISUAL CULTURE,Globale|Créative
HUM-203(a),BA3,Histoire de l'Asie contemporaine A,FR,Histoire de l'Asie contemporaine A,History of contemporary Asia B,"Le cours propose une introduction à l'histoire contemporaine du Japon et de la Chine: la réussite du processus de modernisation au Japon, puis le développement du militarisme, conduisent à une confrontation avec la Chine en proie à des troubles intérieurs et au régime des traités inégaux","Introduction to the modern history of Japan and China, the success of the modernization process in Japan, and the further development of militarism leading to a confrontation with China plagued by internal strife and a regime of unequal treaties.",196397:Ami-Jacques:Rapin,2,2,,,,,,19E SIÈCLE|20E SIÈCLE|ASIE ORIENTALE|MODERNIZATION,Interdisciplinaire|Globale
HUM-204,BA3,"Médias, communication et culture",FR,"Médias, communication et culture","Media, communication and culture",Ce cours souhaite proposer une introduction à l'histoire des phénomènes médiatiques et de leurs implications dans la société occidentale du XIXe au XXIe siècle. Il fournit les compétences nécessaires pour comprendre des phénomènes actuels en remontant à leurs origines.,This lecture would like to propose the creation of a knowledge about the history of media phenomenon and its involvements in Western society from the nineteenth to the twenty-first century. It provides the skills necessary to understand current events going back to their origins.,176121:François:Vallotton|157690:Gianni:Haver,2,2,,,,,,20E SIÈCLE|HISTOIRE|IMAGE|INTERCULTURALITÉ|MASS MEDIA|MÉDIA|MONDIALISATION|POPULAR CULTURES|SERIALISM|VISUAL CULTURE,Interdisciplinaire|Globale
HUM-205,BA3,Design graphique I,FR,Design graphique I,Graphic design I,"Le cours vise à faire découvrir les bases du design graphique, ses enjeux, ses différents domaines d'application, ses techniques et ses conventions. Il s'agit d'un enseignement pratique qui repose sur le développement d'un projet de semestre.","The course consists in practical teaching that allows to acquire the bases of graphic design and to understand the stakes, the various fields of application, the techniques and the conventions of that discipline.",229955:Gaël:Faure|252418:Denis:Rouèche,2,2,,,,,,GRAPHISME|ILLUSTRATION|POSTER,Créative|Interdisciplinaire
HUM-206,BA3,Design industriel I,FR,Design industriel I,Industrial design I,Le cours vise à faire découvrir les bases du design industriel en confrontant les étudiant.e.s à la création d'un objet. Il s'agit d'un enseignement pratique qui repose sur le développement d'un projet de semestre.,The course consists in practical teaching that allows acquiring the bases of industrial design by confronting students with the creation of an object.,184338:Tomás:Král,2,2,,,,,,CRÉATION|CRÉATIVITÉ|DESIGN INDUSTRIEL|ERGONOMIE|ESTHÉTIQUE|FUNCTIONALITY|MAQUETTE|PROTOTYPE,Créative|Interdisciplinaire
HUM-207(a),BA3,Ethique sociale et politique A,FR,Ethique sociale et politique A,Social and political ethics B,"Objectif général de ce cours : permettre aux étudiant-e-s de :

construire une compréhension critique et personnelle des enjeux éthiques du champ politique;

développer la réflexivité argumentative et normative face aux problèmes du vivre-ensemble.
","The aim of this course is to allow students to 
build up a critical and personal understanding of the ethical issues at stake within politics ; &amp; develop their normative reasoning skills and dispositions when facing problems concerning the community.",141572:Hugues:Poltier,2,2,,,,,,COLLECTIVE ACTION|DÉMOCRATIE|ÉCONOMIE SOCIALE|EQUALITY|ÉTHIQUE|JUSTICE|MONDIALISATION|POLITIQUE,Citoyenne|Globale
HUM-208,BA3,État et droits humains,FR,État et droits humains,State and human rights,This course presents a basic introduction to the rights protecting citizens from government abuse.,Ce cours se propose de présenter les différents droits dont l'individu est titulaire et qu'il peut faire valoir à l'égard de l'Etat. ,284619:Guillaume:Lammers|220141:Patrick:Stoudmann,2,2,,,,,,CASE STUDY|CONSTITUTIONAL JUSTICE|DÉMOCRATIE|POLITICAL INSTITUTION,Citoyenne|Globale
HUM-213,BA3,Psychologie cognitive A,FR,Psychologie cognitive A,Cognitive psychology A,"In Cognitive Psychology we are interested in mental processes, i.e., the internal events occurring between sensory stimulation and the overt expression of behavior. In this discipline, we study phenomena such as perception, attention or memory.","En Psychologie Cognitive nous nous intéressons aux processus mentaux, c'est à dire aux événements internes se produisant entre la stimulation sensorielle et l'expression manifeste d'un comportement. Nous étudions dans cette discipline des phénomènes comme la perception, l'attention ou la mémoire.",267780:Elise Sylvie:Dan Glauser,2,2,,,,,,AFFECT|EMOTION|MENTAL IMAGERY|PSYCHOLOGIE COGNITIVE|RESEARCH,Interdisciplinaire|Citoyenne
HUM-215,BA3,Méditerranée: grands textes et mythes fondateurs A,FR,Méditerranée: grands textes et mythes fondateurs A,Mediterranean myths and founding texts A,"Le cours explore les mythes et les textes fondateurs des cultures antiques (Monde biblique, Grèce, Rome, Egypte). Explorant leurs significations, leurs réceptions, il s'agit de dérouler une histoire de l'imaginaire qui nous aide à mieux comprendre le caractère hétéroclite de notre propre culture.
","The course explores the myths and the main texts of ancient cultures (Biblical World, Greece, Rome, Egypt). Exploring their meanings, their receptions, it helps us to better understand the heterogeneous nature of our own culture.",245404:Matteo:Capponi|220239:Thomas:Römer|198529:Youri Alexandre:Volokhine|188747:David:Bouvier,2,2,,,,,,ANTHROPOLOGIE|ANTIQUITÉ|EGYPT|GRÈCE|MESOPOTAMIA|MYTHOLOGY|RELIGION|ROME,Globale|Créative
HUM-216,BA3,Philosophie des sciences A,FR,Philosophie des sciences A,Philosophy of science A,"Identifier et comprendre les débats et problèmes centraux en philosophie de la biologie, par exemple autour du darwinisme ou de la définition du vivant.
Evaluer et comparer les arguments cruciaux dans ces débats.
Synthétiser la discussion et donc formuler et défendre sa propre position.","Identify and understand central issues in the philosophy of biology, for instance about the implications of darwinism or how to define life. Evaluate and compare crucial arguments in the debates. Synthesize the discussion and thus formulate and defend one's own position.",192425:Christian:Sachse,2,2,,,,,,20TH CENTURY|ADAPTATION|ANALYSE|BIOLOGICAL FUNCTION|BIOLOGICAL SPECIES|CRÉATIONNISME|DARWINISME|DEFINITION OF LIFE|EVOLUTION|PHILOSOPHIE|PHYSICS|THEORY,Interdisciplinaire|Citoyenne
