source,destination
https://ic.epfl.ch/,https://www.epfl.ch/schools/ic
,https://www.epfl.ch/schools/ic/education
https://ic.epfl.ch/recherche,https://www.epfl.ch/schools/ic/research
https://ic.epfl.ch/professeurs,https://www.epfl.ch/schools/ic/professors
https://ic.epfl.ch/transfert-de-technologie,https://www.epfl.ch/schools/ic/tech-transfert
https://ic.epfl.ch/notre-mission,https://www.epfl.ch/schools/ic/organization
https://ic.epfl.ch/contacts-ic,https://www.epfl.ch/schools/ic/organization/contacts
https://ic.epfl.ch/decanat,https://www.epfl.ch/schools/ic/organization/contacts/dean-office
https://ic.epfl.ch/committees,https://www.epfl.ch/schools/ic/organization/committees
https://ic.epfl.ch/conseil-de-faculte,https://www.epfl.ch/schools/ic/organization/school-counsil
https://ic.epfl.ch/direction-sections,https://www.epfl.ch/schools/ic/organization/section-directors
https://ic.epfl.ch/advisory-board_fr,https://www.epfl.ch/schools/ic/organization/advisory-board
,https://www.epfl.ch/schools/ic/news
https://ic.epfl.ch/evenements,https://www.epfl.ch/schools/ic/agenda
https://ic.epfl.ch/journee-de-recherche-2017,https://www.epfl.ch/schools/ic/agenda/research-day
https://ic.epfl.ch/seminaires,https://www.epfl.ch/schools/ic/agenda/colloquia
,https://www.epfl.ch/schools/ic/output/
https://ic.epfl.ch/prix,https://www.epfl.ch/schools/ic/output/awards
https://ic.epfl.ch/livres,https://www.epfl.ch/schools/ic/output/books
https://ic.epfl.ch/succes-etudiants,https://www.epfl.ch/schools/ic/output/students-success
https://ic.epfl.ch/page-133495-fr.html,https://www.epfl.ch/schools/ic/output/alumni
,https://www.epfl.ch/schools/ic/services
https://ic-it.epfl.ch/,https://www.epfl.ch/schools/ic/services-it
https://ic.epfl.ch/research,https://www.epfl.ch/research/domains/ic/
https://ic.epfl.ch/algorithmique-et-informatique-theorique,https://www.epfl.ch/research/domains/ic/algorithms-theoretical-computer-science
https://ic.epfl.ch/intelligence-artificielle-et-apprentissage-automatique,https://www.epfl.ch/research/domains/ic/artificial-intelligence-machine-learning
https://ic.epfl.ch/biologie-computationnelle,https://www.epfl.ch/research/domains/ic/computational-biology
https://ic.epfl.ch/architecture-informatique-et-systemes-integres,https://www.epfl.ch/research/domains/ic/computer-architecture-integrated-systems
https://ic.epfl.ch/gestion-de-donnees-et-recherche-d-informations,https://www.epfl.ch/research/domains/ic/data-management-information-retrieval
https://ic.epfl.ch/graphique-et-vision,https://www.epfl.ch/research/domains/ic/graphics-vision
https://ic.epfl.ch/interaction-homme-machine,https://www.epfl.ch/research/domains/ic/human-computer-interaction
https://ic.epfl.ch/theorie-de-l-information-et-des-communications,https://www.epfl.ch/research/domains/ic/information-communication-theory
https://tcs.epfl.ch/page-110071-en.html,https://www.epfl.ch/research/domains/ic/information-communication-theory/members
https://tcs.epfl.ch/page-110072-en.html,https://www.epfl.ch/research/domains/ic/information-communication-theory/seminars
https://tcs.epfl.ch/page-110321-en.html,https://www.epfl.ch/research/domains/ic/information-communication-theory/reading-group
https://ic.epfl.ch/reseaux,https://www.epfl.ch/research/domains/ic/networking
https://ic.epfl.ch/langages-de-programmation-et-methodes-formelles,https://www.epfl.ch/research/domains/ic/programming-languages-formal-methods
https://ic.epfl.ch/securite-et-cryptographie,https://www.epfl.ch/research/domains/ic/security-cryptography
https://ic.epfl.ch/traitement-du-signal-et-de-l-image,https://www.epfl.ch/research/domains/ic/signal-image-processing
https://ic.epfl.ch/systemes,https://www.epfl.ch/research/domains/ic/systems
